dialect,standard
멀래,몰래
멀끼미,물끄러미
멀리,몰래
멀쭈만치,멀찌감치
멕주,공연히
멕지,공연히
멕지로,공연히
멜꾸미,물끄러미
멩랑시리,명랑스레
멩에시리,명예스레
모독디리,모조리
모돌디리,모조리
모돌띠리,모조리
모돌뻬이,모조리
모딜띠,모조리
모졸시리,모조리
모졸티리,모조리
모죽두리,모조리
모죽디리,모조리
모지시리,매우 모질게
몬따,못다
몬침,먼저
몰상시리,몰상식하게
몹사리,몹시
몽땅거리,몽땅
몽따,몽땅
몽창시리,몹시
지각기,제각기
지난아리,그끄저께
지떡지떡,삐딱삐딱
지뚱지뚱,기우뚱기우뚱
지마다,저마다
지맛대로,제멋대로
지망지마이,지망지망히
지멋대로,제멋대로
지상가상없이,대중없이
지이,천천히
지주굼,각자
지지미,제가끔
지지미,스스로
지지움,제가끔
지질로,저절로
지짐에,제풀에
지풀에,제풀에
직각,즉각
쭈섬쭈섬,주섬주섬
진작이,진작
진지이,천천히
진차이,공연히
진찬이,공연히
진찬히,괜히
질쭘질쭘,길쯤길쯤
짐시리,짐스레
짜다라,그다지
짜다락,많이
짜다리,그다지
짜더리,그다지
짜드라,많이
짜드락,많이
짜죽짜죽,아장아장
짜징시리,짜증스레
째끔,조금
째삣째삣,뾰족뾰족
째삣째삣,쪼뼛쪼뼛
째작째작,자작자작
쩔룸쩔룸,절름절름
쪼게이,조금
쪼께,조금
쪼께이,조금
쪼껜,조금
쪼꾸매,조금
쪽바로,똑바로
쫑곳,쫑긋
쫑굿쫑굿,쪼뼛쪼뼛
쭈굴시리,겸연쩍이
쭈지쭈지,주저주저
찌리찌리,찌릿찌릿
찌리찌리,끼리끼리
찌붓찌붓,기웃기웃
찔꿈,찔끔
찔꿈찔꿈,찔끔찔끔
차게차게,차곡차곡
차기차기,차곡차곡
차침,차츰
찬차이,찬찬히
찬찬이,찬찬히
찰떡겉이,찰떡같이
채채로,차차로
챙피시리,창피스레
처적처적,추적추적
천승,천생
천연덕시리,천연덕스레
천처이,천천히
천청만청,누덕누덕
철떡겉이,찰떡같이
철통겉이,철통같이
살고미,살그미
살금,살짝
살짜쿵,살짝
살짝이,살짝
살짝히,살짝
살째기,살짝
살푼,살짝
상고,아직
상구,아직
석기,속히
선나치,조금
선내끼,조금
선자,우선
설매,설마
세기,되게
세끼,속히
세사,도무지
섹헤,속히
섹히,속히
소로시,고스란히
누루수룸이,누르스름히
더푼,덥석
덜렁시리,침착하지 못하고 거볍게 행동하는 데가 있게
느럼느럼,느럭느럭
느릇느릇,느릿느릿
느리느리,느릿느릿
늘상,늘
늘석늘석,늘썽늘썽
늘성늘성,늘썽늘썽
늘신늘신,늘씬늘씬
늘썩늘썩,늘썽늘썽
능글시리,능글스레
능실능실,느릿느릿
늦가,늦게
니내엄시,너나없이
니리니리,느릿느릿
니릿니릿,느릿느릿
니얼,내일
니엿니엿,뉘엿뉘엿
다,더
다걸다걸,달달
다걸다걸,달달
다름엄시,다름없이
다리,달리
다맛,다만
다문,다만
다복시리,다복스레
다부,다시
다북다북,다복다복
데나깨나,도나캐나
다시,좀처럼
다시엄시,다시없이
다정시리,다정스레
다짜구짜,다짜고짜
다짜구짜로,다짜고짜로
단뿐에,단번에
단짐에,단김에
데두룩,되도록
달달이,다달이
담복담복,듬뿍듬뿍
답대비,가끔
당체,당최
대간절,대관절
대다이,대단히
대담시리,대담스레
대대대,다닥다닥
대리,도리어
대벤에,대번에
대분에,대번에
대시,더군다나
대중엄시,대중없이
대판에,대번에
댑대비,도리어
댑대비,가끔
댓디,도리어
더러,덜
더리,더러
더문더문,드문드문
더부다나,더욱이
더부렁,뒤룩
더부렁더부렁,뒤룩뒤룩
더뿍,더뻑
더뿍더뿍,더뻑더뻑
더엄시,더없이
더우다나,더욱이
더퍽,덥석
더풀더풀,더펄더펄
덕성시리,덕성스레
덕시리,덕스레
덜덜이,다달이
데,되게
데기,되게
데는대로,되는대로
데도록,되도록
데따,도리어
데떼,도리어
데띠,도리어
데리어,더군다나
데베시,거꾸로
데시,도리어
데작데작,되작되작
데통시리,되통스레
데퉁시리,데퉁스레
도골도골,데굴데굴
도로히,도리어
도로도로,도래도래
