dialect,standard
깨꿈시럽다,깨끔스럽다
깨끄럽다,깔끄럽다
깨끌허다,깨끗하다
깨끔받다,깔끔하다
깨끔밧다,깨끗하다
깨끔하다,개운하다
깨끔허다,깨끗하다
께끔받다,깔끔하다
꿀쭉하다,궁금하다
꿀쭘하다,궁금하다
꿀찜하다,궁금하다
깨반하다,개운하다
깨분하다,개운하다
깨앨타,게으르다
깨엘받다,게으르다
깨완하다,개운하다
깨운하다,개운하다
깨탈시럽다,까다롭다
깬허다,개운하다
꺼까랍다,꺼끌꺼끌하다
꺼껄하다,껄껄하다
꺼가랍다,꺼끌꺼끌하다
꺼꺼럽다,간지럽다
꺼꾸룸하다,꺼림하다
꺼머무리하다,꺼무레하다
꺼무꾸룸하다,꺼무스름하다
꺼무꾸리하다,꺼무끄름하다
꺼무수룸하다,꺼무스름하다
꺼무수리하다,꺼무스레하다
꺼무티티하다,꺼무튀튀하다
꺼실꺼실하다,꺼슬꺼슬하다
꺼찰하다,꺼칠하다
꺼치리하다,꺼칠하다
껀지럽다,가렵다
껀지럽다,간지럽다
껌붉다,검붉다
껌직하다,꺼림하다
껌타,껌다
께거럽다,가렵다
께꺼다랍다,꾀까다롭다
께까다롭다,까다롭다
께까다롭다,꾀까다롭다
께까더럽다,괴까다롭다
께까드랍다,까다롭다
께꺼럽다,가렵다
께꼬롬하다,께끄름하다
께꼬룸하다,께끄름하다
께꼬름하다,께끄름하다
께꾸론허다,께끄름하다
께꾸룸하다,께름하다
께꾸룸하다,께끄름하다
께끄다랍다,까다롭다
께끄드랍다,까다롭다
께끌받다,깔끔하다
께룸하다,께름하다
께밧다,게으르다
께알받다,게으르다
께으리다,게으르다
께을받다,게으르다
께을타,게으르다
께제제하다,꾀죄죄하다
께제하다,꾀죄하다
껠받다,게으르다
껠밧다,게으르다
껠하다,게으르다
껧다,게으르다
꼬꼽하다,꼽꼽하다
꼬까다롭다,까다롭다
꼬깝다,고깝다
꼬꾸랑하다,꼬부랑하다
꼬로탑탑하다,고리탑탑하다
꼬롬하다,구릿하다
꼬리다,고리다
꼬부수룸하다,꼬부스름하다
꼬소롬하다,고소하다
꼬솜하다,고소하다
노골노골하다,노글노글하다
꼴짭하다,성질이나 행동이 치사하고 야비하다
꼼상시럽다,곰상스럽다
꼼심하다,얍삽하다
꾀까다럽다,까다롭다
꾀까드랍다,꾀까다롭다
꾸겜없다,꾸김없다
꾸둘꾸둘하다,꾸들꾸들하다
꾸루무리하다,끄무레하다
꾸룸하다,구리다
꾸룸하다,끄무레하다
꾸무리하다,끄무레하다
꾸부덩하다,꾸부정하다
꾸부둥꾸부둥하다,꾸부정꾸부정하다
꾸부수룸하다,꾸부스름하다
꾸불뚱꾸불뚱하다,꾸불텅꾸불텅하다
꾸불뚱하다,꾸불텅하다
꾸불퉁꾸불퉁하다,꾸불텅꾸불텅하다
꾸수룸하다,구수하다
꾸중충하다,구중중하다
꾸중하다,구중중하다
꾸지리하다,구지레하다
꿀떡겉다,굴뚝같다
꿀룽하다,꿀렁하다
꿈겉다,꿈같다
꿈금하다,꼼꼼하다
끄짐하다,계속되던 일이나 움직임이 멈추거나 끝난 듯하다
끈지럽다,근지럽다
끼꾸룸하다,께끄름하다
끼까더럽다,괴까다롭다
끼꾸롬하다,께끄름하다
끼꾸룬하다,께끄름하다
끼꾸름하다,께름하다
끼꿈하다,꺼림하다
끼룸하다,께름하다
끼밈없다,꾸밈없다
끼욿다,게으르다
나렷하다,나른하다
나시다,낯설다
나에리다,나어리다
나자직하다,나지막하다
나작하다,나른하다
나작하다,나슨하다
나질막하다,나지막하다
난벤시럽다,난잡스럽다
날날하다,나란하다
날사다,날쌔다
남우사시럽다,남우세스럽다
남직하다,남짓하다
납닥하다,납작하다
낭카롭다,날카롭다
낯실다,낯설다
내겁다,냅다
내럽다,마렵다
내롭다,마렵다
내룹다,마렵다
냉갈시럽다,몹시 매정하고 쌀쌀하다
너리다,너르다
너줄하다,너절하다
너저부리하다,너저분하다
너주리하다,너주레하다
넉실넉실하다,느릿느릿하다
널널하다,널찍하다
널쩍널쩍하다,널찍널찍하다
널석하다,늘썽하다
널성하다,늘썽하다
널씩널씩하다,널찍널찍하다
넘부끄럽다,남부끄럽다
넘사시럽다,남우세스럽다
넘세스럽다,남우세스럽다
넘세시럽다,남우세스럽다
넙덕넙덕하다,넓적넓적하다
넙덕하다,넓적하다
넙죽하다,너부죽하다
넝큼시럽다,엉큼스럽다
넝큼하다,엉큼하다
네꼴시럽다,뇌꼴스럽다
네하다,뇌하다
노건하다,노곤하다
노랑노랑하다,노릇노릇하다
노랑땡땡하다,노르댕댕하다
노릿노릿하다,노릇노릇하다
노랑탱탱하다,노르댕댕하다
노랑하다,노릇하다
노러하다,노랗다
노르끼리하다,노르께하다
노리시롬하다,노르스름하다
노리시름하다,노르스름하다
노리짱하다,노르스름하다
놀하다,노랗다
식잖다,씨식잖다
신에차다,흡족하다
심시다,힘세다
심세다,힘세다
심쌔다,힘세다
심청궂다,심술궂다
십다,시다
싱겅하다,시서늘하다
싱깁다,싱겁다
싸드리하다,시들하다
싸름하다,맥없다
싸시락하다,자질구레하다
쌉수리하다,씁쓰레하다
쌉쓰리하다,씁쓰레하다
쌔그랍다,시다
쌔롭다,새롭다
쌔벌리다,흔하다
쌔삐까리다,물건 따위가 쌓일 만큼 퍽 흔하고 많다
쌔삐깔리다,물건 따위가 쌓일 만큼 퍽 흔하고 많다
써나다,시원하다
써분하다,서운하다
써운하다,시원하다
썩쭈구리하다,썩어서 쭈글쭈글하다
썬썬하다,선선하다
썬하다,시원하다
썬허다,시원하다
썸뜩시럽다,섬뜩하다
쎄다,굵다
쑥쑥다,더럽다
쑥쑥하다,지저분하다
씁다,쓰다
씨그럽다,시끄럽다
씨꺼멓다,시꺼멓다
안데다,안되다
씨끄럽다,시끄럽다
씨다,쓰다
씨리다,시리다
씨언하다,시원하다
씨잘디없다,쓸데없다
씨잘데기없다,쓸데없다
씽퉁방퉁하다,시무룩하다
씽퉁하다,시무룩하다
아금바리다,아금받다
아껍다,아깝다
아렵다,어렵다
아실아실하다,아슬아슬하다
아심잖다,죄송하다
아지랍다,아슬아슬하다
아지랍다,어지럽다
아질아질하다,아슬아슬하다
알스럽다,안쓰럽다
암데다,암되다
앙카롭다,사납다
앙콤시럽다,앙큼스럽다
애낌엄따,아낌없다
애럽다,외롭다
애롭다,외롭다
애백스럽다,박정스럽다
애엔하다,애처롭다
애인하다,애처롭다
애초롭다,애처롭다
야릉야릉하다,보드랍다
야멜시럽다,야멸스럽다
야멜차다,야멸차다
야물다,여물다
야무다,여물다
야무락지다,야무지다
야무치다,야무지다
야물딱지다,야무지다
