dialect,standard
배름벡,바람벽
배몰미,뱃멀미
배미딸,뱀딸기
배밍이,뱀
배불래기,뱁새
배뽕,생선의 뱃살로 뜬 회
배사람,뱃사람
버두,개머루
배살,뱃살
배선개,선가
배소리,뱃소리
배속,뱃속
배신,운동화
배쏙짓,배냇짓
배암자구,뱀장어
배애미,뱀
배앵이,뱀
배얌쟁이,뱀장어
배어,뱅어
배지통,배
배제,비지
배짜이,배
배쨍이,배짱
배차꽃,배추꽃
배차밭,배추밭
배찻값,배추의 가격
배차삼,배추쌈
배차시,배추의 씨
배차쏙,배추속대
배차알,배추속대
배창사,배창자
배티,배퉁이
배추알,배추속대
배추알배기,배추속대
배치,배추
배치기,배지기
배치기,물속으로 뛰어들 때 배 부딪침
배태이,대장장이
배투이,배퉁이
배팅이,배퉁이
백,벽
백고이,고니
백구천장,백공천창
백새,백사
백시리떡,백설기
백야시,백여우
백여시,백여우
백짐,백설기
백필탕,백비탕
백하점,백화점
밴딩이,밴댕이
밴벵도리,반병두리
밴지래기,바지락
뱀대가리,가오리연
뱀짱애,뱀장어
뱀이딸,뱀딸기
뱀자이,뱀장어
뱀장애,뱀장어
뱁초,배추
뱃구넉,배꼽
뱃구늉,배꼽
뱃구먹,배꼽
뱃구뭉시계,배꼽시계
뱃넘,뱃놈
뱃둥거리,배추꼬랑이
뱃둥구리,배추꼬랑이
뱃속짓,배냇짓
뱃속질,배냇짓
뱃자루,빗자루
뱃자리,빗자루
뱅공이,팽이
버둥개,버둥질
뱅암,뱀
뱅애,뱅어
뱅에,뱅어
뱅울,방울
뱅치,뱅어
버개호지,베갯잇
버거리,바구미
버그리,바구미
버그미,바구니
버금지,바구니
버기미,버캐
버꺼재이,대머리
버꺼지,대머리
버껌,거품
버꾸,장승
버꿈,거품
버꿈,버캐
버끄지이,대머리
버끔,거품
버끔내이,겨끔내기
버덜낭개,버드나무
버덜낭구,버드나무
버들강새이,버들강아지
버들강생이,버들개지
버들개비,버들개지
버들나무,버드나무
버들나무가지,버들가지
버들나무이파리,버들잎
버들낭구,버드나무
버디,머루
번덕,버덩
버랭이,버르장이
버럼,비름
버럿댕이,버르장이
버럿쟁이,버르장이
버르다구,버르장이
버르대기,버르장이
버르자구,버르장이
버르장아,버르장이
버르재이,버르장이
버르정머리,버르장머리
버르지이,버르장이
버르징이,버르장이
버름,비름
버릇대기,버르장이
버릇대이,버르장이
버릇뒹이,버르장이
버리,벌
버리장구,버르장이
버리지,버릇
버릿제,보릿겨
버부리,벙어리
버부리장갑,벙어리장갑
버석,버섯
버섬,버섯
버섭,버섯
버세,멍청이
버순,버선
버습,보습
버슴,버짐
버슴,버섯
버신,버선
버심,버짐
버이개,번개
버점약,버짐약
버젓,버릇
버즘,버짐
요랑,요량
버지,비지
버지기,되는대로 사는 사람
버쿰,거품
버털,풍채
벅수,멍청이
벅시,바보
번네,번뇌
번대,뻔뻔이
번디,번데기
번딕,버덩
번때기,번데기
번소,변소
번젱이,갈치
벌거이,벌레
벌거니,벌레
벌거시,벌레
벌겅소,털의 빛깔이 붉은 소
벌겅이,벌레
벌게,벌레
벌겡이,벌레
벌기이,벌레
벌깅이,벌레
벌눈,개씨바리
벌등가지,버르장이
벨실,별실
벌레이,벌레
벌말,거짓말
벌범,표범
벌창,벌충
벌춤,벌침
벌치,지각망나니
범나부,범나비
범도다리,강도다리
범아주까리,아주까리
범제,범죄
벙캐,덜렁거리는 사람
법딍이,벙어리
법버,벙어리
법보,벙어리
법자매미,벙어리매미
벗거지,대머리
벗거징이,대머리
벗보,벙어리
벙에,붕어
벹,볕
베,벼
벳,볕
베가리,낟가리
베개찝,베갯속
베개호창,베갯잇
베개호청,베갯잇
베개호치,베갯잇
베개호칭,베갯잇
베갯소,베갯속
베갯여물,베갯속
베계,비계
베구두,운동화
베리,벼루
베기,베개
베느리,볏가리
베늘,비늘
베니아판,베니어판
베니아합판,베니어합판
베락틀,덫
베락,벼랑
베락불,벼락
베락재물,양잿물
베락잿물,양잿물
베락치기,벼락치기
베락치기공부,벼락공부
베러또,벨트
베러베또,벨벳
베럭방,바람벽
베럼,모꼬지
베로,별호
베롬박,바람벽
베롱박,바람벽
베릎,볏
베루,벨
베루빠,바람벽
베루집,벼룻집
베룸팍,바람벽
베르치,볏
베륵,벼룩
베륵바닥,바람벽
베륵빡,바람벽
베륵빵,바람벽
베릇,볏
베릇딩이,볏밥덩이
베리빡,바람벽
베리치,볏
베릭,벼룩
베림빡,바람벽
베릿,볏
베릿가리,볏가리
베부젱이,질경이
베뿌젱이,질경이
베슬,벼슬
베실,벼슬
베실,손님마마
베실살이,벼슬살이
베실양반,벼슬양반
베엣솜,베갯속
베이,질병
베이개,번개
벡돌공,벽돌공
벡굽지,굽도리
벡면,벽면
벡시게,벽시계
벡오동,벽오동
벨꺼,별거
벡차기,벽차기
벡창오,벽창호
벡치기,벽치기
벤기,변기
벤덕꾸레기,변덕꾸러기
벤두리,변두리
벤비,변비
벤비약,변비약
벤상,변상
벤소간,변소
벨꼬라지,별꼴
보따리맺임,보자기매듭
벤아,변화
벤압기,변압기
벤오,변호
벤오사,변호사
벨가리,병아리
벤전소,변전소
벨개,별개
벨꼴,별꼴
보로,보루
벨,불가사리
벨개이,병아리
벨거,별거
벨거이,벌레
벨걱정,별걱정
벨게이,벌레
벨고,별고
벨구경,별구경
벨난,별난사람
벨넘,별놈
벨도,별도
벨도리,별도리
벨라이,별난사람
벨랑이,별난사람
벨로,별로
벨말,별말
벨말슴,별말씀
벨멩,별명
벨문제,별문제
벨벨,별별
벨빛,별빛
벨사건,별사건
벨생각,별생각
벨세,별세
벨세게,별세계
벨세상,별세상
벨소리,별소리
벨수,별수
벨수단,별수단
벨일,별일
벨자리,별자리
벨지,별지
벨지장,별지장
벨짜리,별짜리
벨채,별채
벨책,별책
벨치미,퇴침
벨침,목침
벳가리,낟가리
벳짚,볏짚
벵따개,병따개
벵따까리,병뚜껑
벵문안,병문안
벵사,병사
벵신,병신
벵아리집,육추사
벵아리통,육추사
벵어,병어
벵어젓,병어젓
벵어주디,병어주둥이
벵어주딩이,병어주둥이
벵온,병원
벵운,병원
벵은,병원
벵정,병정
벵정놀이,병정놀이
벵충해,병충해
벵치리,병치레
벹기,볕기
벹내,볕내
벹받이,볕받이
벼느리,가리
벼느리,볏가리
벼늘,낟가리
벼러기,벼룩
벼리,벼루
병뚜꾸벵이,병뚜껑
벼실,볏
벼어,뱅어
별침,베개
병대,병사
병뚜꾸베이,병뚜껑
병모,빙모
병어,뱅어
병에,병어
병장,빙장
볘갱이,병아리
보간,보관
보걸,허파
보골,허파
보께또,호주머니
보께뚜,주머니
보께통,주머니
보리살자리,보리쌀자루
보굴,허파
보꺼또,주머니
보꺼토,주머니
보리수지비,보리수제비
부루도자,불도저
보대,머루
보도,모두
보두나무,버드나무
보들나무,버드나무
보디,바디
보따리,보자기
보띵이,보퉁이
보로,속셈
보롱이,산봉우리
보리까시래기,보리까락
보룸,보름
보륨,볼륨
보리,보늬
보리까시래이,보리까락
보리깜배기,보리깜부기
보리껄티기,보리그루터기
보리동갑,자치동갑
보리동생,아우
보리딩기,보릿겨
보리문딩이,문둥이
보리베늘,보릿가리
보리사리,보리
보리살,보리쌀
보리살소쿠리,보리쌀소쿠리
보릿가리,보릿가루
보릿대모자,밀짚모자
보릿딩기,보릿겨
보릿딩기,보리등겨
보릿자리,보릿자루
보릿제,보릿겨
보사,봉사
보새기,보자기
보새끼,보자기
보석,보습
보석어,보구치
보선발,버선발
보선볼,버선발
보선코,버선코
보설비,보슬비
보슨,버선
보슷,보습
보시레,버릇
보신,버선
보실비,가랑비
보실비,보슬비
보잘품,볼품
보오,보호
보오자,보호자
보온벵,보온병
보재기,잠수부
보재이,보자기
보조기,보조개
보조기,보자기
보족,쐐기
보죽,쐐기
보초벵,보초병
보지터르기,거웃
보지털,거웃
부루독,세존단지
보탄,모탕
보탄지침,밭은기침
보탕,모탕
보통내이,보통내기
보티,보퉁이
보티이,보퉁이
보푸래기,보푸라기
보푸래이,보푸라기
복걸복,복불복
복대,전대
복더이,복더위
복디,복덩이
복딩이,복덩이
복판달가지,가운뎃다리
복새,노을
복새,둑새풀
복성씨,복숭아씨
복성이,복사뼈
복송,복숭아
복송삐,복사뼈
복재이,복
복재이,복어
복순,복숭아
복숭나무,복숭아나무
복숭밭,복숭아밭
복주무이,복주머니
복숭뼈,복사뼈
복숭시,복사뼈
복숭시,복숭아씨
복숭시뼈,복사뼈
복숭시삐,복사뼈
복숭씨,복사뼈
복숭아뻬,복사뼈
복승,복숭아
복승뼈,복사뼈
복시,복숭아
복시아,복숭아
복실강생이,복슬강아지
복실강아지,복슬강아지
복실이,복슬강아지
복판발가락,가운뎃발가락
복싱,복숭아
복싱아,복숭아
복조래,복조리
복지,복어
복지복,복불복
복튀,모이주머니
복판자리,한가운데
본간,본관
본겍,본격
본고양,본고향
본네뜨,보닛
보네뜨,보닛
본니,본래의치아
본대,본디
본대,본디
본디,동부
본디,보늬
본디,완두콩
본디,본데
본디이,번데기
본마너래,본마누라
본습,보습
본엄마,친어머니
본치,보람
본토백이,본토박이
볼구녕,봇도랑
볼구짝,볼기짝
볼구째기,볼기
볼구째이,볼기짝
볼따구,볼따구니
볼때이,볼때기
볼똥,보리수
볼뜨,볼트
볼부시,볼거리
볼부시기,볼거리
볼살,보리쌀
볼상,볼썽
볼충,벌충
볼치,볼거리
볼치기,볼거리
볼태이,볼때기
볼탱이,볼따구니
볼테기,볼따구니
봄무시,봄철 무
봄배차,봄배추
봇고랑,봇도랑
봉급재이,봉급쟁이
봉,그루
봉군,봉분
봉다리,산봉우리
봉사놀이,소경놀이
봉사지기,숨바꼭질
봉새,봉선화
봉새,봉숭아
봉새,봉사
봉성아,봉숭아
봉소,봉사
봉송아,봉숭아
봉숭,복숭아
봉수,빚보증
봉알,불알
봉순하,봉선화
봉숭와,봉숭아
봉숭하,봉숭아
봉쏭,복숭아
봉오리,산봉우리
봉태기,소쿠리
부국새,뻐꾹새
부기다남,부귀다남
부기영하,부귀영화
부꼬치,누에고치
부꾹새,뻐꾸기
부꿈새,뻐꾹새
부꿈채기,숨바꼭질
부데,재롱
부돌,부들
부둔지,진드기
부등지,진드기
부때이,부지깽이
부또,부뚜
부뚜매기,부뚜막
부뚜멐,부뚜막
부뚝,부뚜
부뜩,부뚜막
부뜩매미,귀뚜라미
부루도꾸,불도그
부레끼,브레이크
부레이끄,브레이크
부룩데기,부룩소
부룩디,부룩소
부룻단지,세존단지
부리,부레
부리기,그루터기
부리기,부룩소
부리끼,프리킥
부리똥,보리수열매
부묘,보식
부상벵,부상병
부샛돌,부싯돌
부상추,상추
부새,부시
부새기,새벽
부석아구지,아궁이
부석작대이,부지깽이
부석칼,부엌칼
부섭,아궁이
부세미,담배쌈지
부섴,부엌
부섹,부엌
부쇠,부시
부쇠기,부시
부수때이,부지깽이
부숭씨,복사뼈
부숰,아궁이
부스깨이,부지깽이
부스름,부스럼
부시깽이,부지깽이
부시레기,부슬비
부시레기,부스러기
부실비,가랑비
부쌧돌,부싯돌
부쎄,부시
부쎗돌,부싯돌
부쐐돌,부싯돌
부쐬,부시
부쒜,부시
부씨깽이,부지깽이
부악지,다북쑥
부앙단지,부항단지
부애통,부아통
부얶,아궁이
부우돌,부싯돌
부잇돌,부싯돌
부이,부기
부인벵,부인병
부자,버저
부자방매이,도깨비방망이
부자방맹이,도깨비방망이
부작대이,부지깽이
부적아구리,아궁이
부젘,아궁이
부제,부젓가락
부젯가락,부젓가락
부족,쐐기
부지갱이,부지깽이
부지깨이,부지깽이
부지때이,부지깽이
부짓돌,부싯돌
부짝대이,부지깽이
부체,부처
부추꿀밤,상수리
부충나무,상수리나무
부치개,부처
부태,부채
부행이,부엉이
부헤장,부회장
부헹이,부엉이
북궁,뻐꾸기
북데이,북데기
북디,북데기
북방색,국방색
북살,노을
북새,아침노을
오돔패이,옴팡
오돔팽이,옴팡
북실,밑실
북재이,박수
북쭉,북쪽
북태,북어
분가,분과
분가리,분가루
오돌개,오디
오돌깨,오디
오동강새이,오디
오동애,오징어
오래이,호랑이
오드애,오징어
오둘깨,오디
오둘배기,고들빼기
오드락바람,회오리바람
오들깨,오디
옹구재이,옹기장이
오등애,오징어
오똘개,오디
오라바,오라버니
오라바지,오라버니
오라부니,오라버니
오랍쎄,오빠
오랍씨,오라버니
오랑강새이,오디
오로강새이,강아지풀
오른펜,오른편
오론손,오른손
오론쪽,오른쪽
오른폴,오른팔
오룬쪽,오른쪽
오룬쪽손,오른손
오른손쪽,오른쪽
오른착,오른쪽
오리막질,오르막길
오마,엄마
오마씨,어머니
오마이,어머니
오만,어머니
오매이,호미
오목불,모닥불
오무냐,어머니
오빼이,올빼미
오수리,오소리
오시랖,오지랖
오시리,오소리
오시리,벽장
오씨레이,곱슬머리
오좀구시,오줌통
오얫,자두
오요강새이,강아지풀
오장치,오쟁이
오장치,삼태기
오재이,광주리
오쟁이,구두
오좀발,오줌발
오줌구시,오줌통
오줌소매,오줌
오줌추마리,오줌장군
오중애,오징어
오즘,오줌
오즘장군,오줌장군
오증애,오징어
오지에,오징어
오징에,오징어
옥또기,오뚝이
옥수시,옥수수
옥차자,갈퀴
온냥간,외양간
온돌빼기,고들빼기
온시이,원숭이
온신이,원숭이
온짝손,오른손
올구채이,올챙이
올구챙이,올챙이
올그채이,올챙이
올꾸니,바보
올렁강생이,오디
올매,얼마
올비이,마름
옷자래기,옷자락
올처,올케
올체,올케
올치,올케
올케세이,올케
올키,올케
옴미,엄마
옴배미,올빼미
옴빼미,올빼미
옷가,옷자락
잉꾸,잉크
옷재래기,옷자락
옹고발,발채
옹구그럭,질그릇
옹구그릇,옹기그릇
옹구발,발채
옹기툭바리,뚝배기
옹당,옹달샘
옹당새미,옹달샘
옹당새미,박우물
옹재이,옹자배기
옹지기,옹자배기
왁다지,무말랭이
왁대기,무말랭이
왈개,좋지않은사이
왕거무,왕거미
왕굴밤나무,상수리나무
왕기딩기,왕겨
왕되미,왕겨
왕모새,왕모래
왕새,억새
왕철구,잠자리
왕철기,왕잠자리
왕태손,흙손
왕털기,왕잠자리
왕토칼,흙손
왕투칼,흙손
왜거리,왜가리
왜삼촌,외삼촌
왜사촌,외사촌
왜삼촌댁,외삼촌댁
왜오라기,해오라기
왜조카,외종질
왜치,자두
외눈배이,외눈박이
왜통백이,애꾸
왜팔이,외팔이
왜할매,외할머니
왜할배,외할아버지
왠손배기,왼손잡이
왠손잽이,왼손잡이
왠짝잽이,왼손잡이
왱이,진드기
외가리,해오라기
외똘배이,외톨박이
외똘이,외톨이
외삼춘,외삼촌
외이,오이
외정,이정
외지름,석유
외추,자두
왼짝손,왼손
욋날,옛날
요각,요객
요강꽃,개불알꽃
요갱,요강
요거죽,욧잇
요구,갈고리
요껍댕이,욧잇
요껍디,욧잇
요끄데기,욧잇
요끄죽,욧잇
요끕데기,욧잇
요끕디기,욧잇
요끕디이,욧잇
요데기거죽,욧잇
요때이,요때기
요분,요번
요주움,요즈음
요즈움,요즈음
요지음,요즈음
요짜리,요때기
요판,요때기
욜래방구,촐싹대는 행위
욜래방정,오두방정
욜밤,마름
용구람,용마름
용구름,용마름
용낙,요동
용누름,용마름
용모롬,용마름
용마림,용마름
용머리,용마름
용메,용모
용모룸,용마름
용모름,용마름
용모리,용마름
용무름,용마름
용므리,용마름
용바람,용마름
용보롬,용마름
용보름,용마름
용삼치,청새치
용심꾸레기,용심꾸러기
용심재이,용심쟁이
우각,우박
우구리,오가리
우끼,벼
우내,아지랑이
우누,는개
우대,북쪽지방
우땀,위뜸
우랭이,우렁이
우렁시,우렁이
우렁시이,멍게
우렁시이,우렁이
우렁시히,우렁이
우렁심,멍게
우렁싱이,멍게
우롱시이,우렁이
우룽시이,멍게
우룽시이,우렁이
우룽싱이,멍게
우름셍이,멍게
우링이,우렁이
우모래,글피
우무,안개
우무까시래이,우뭇가사리
우무까시리,우뭇가사리
우묵,우무
볼우물,보조개
우뭇가시랭이,우뭇가사리
우뭇가시리,우뭇가사리
우뭉거지,멍게
우봉,우엉
우시개,우스개
우시암,윗수염
우엄,위험
우엣물,윗물
우엣시염,윗수염
우엥이,진드기
우울벵,우울병
우입수구리,윗입술
